question_id,question,expected_route,acceptable_routes,guardrail_result,actual_route,expected_document_id,top1_document_id,document_match,top1_distance,top2_distance,top3_distance,retrieved_count,pass,notes,domain_category,guardrail_reason,suggested_topics
G-W01,국민연금을 11년 정도 냈습니다. 몇 살부터 노령연금을 받을 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6525,law_6525,TRUE,0.342089,0.512973,0.526629,3,TRUE,,welfare,strong_keyword,"국민연금 7년, 공무원연금 4년으로 가입기간이 각각 부족해도 연금을 받을 수 있나요?; 노령연금(국민연금)을 받고 있더라도 기초연금을 함께 받을 수 있을까요?"
G-W02,국민연금을 받고 있어도 만 65세부터 기초연금을 같이 받을 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6528,law_6528,TRUE,0.353510,0.450852,0.531818,3,TRUE,,welfare,strong_keyword,"국민연금 가입기간이 11년 정도 되는데, 언제부터 노령연금을 받을 수 있나요?; 기초연금액의 산정방법을 자세히 알고싶어요."
G-W03,기초연금 금액은 어떤 기준으로 계산되나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6349,law_6349,TRUE,0.446315,0.477117,0.551700,3,TRUE,,welfare,strong_keyword,노령연금(국민연금)을 받고 있더라도 기초연금을 함께 받을 수 있을까요?; 주거용 재산 1억 6천만 원과 일반재산 3천만 원이 있는 세종시 주거수급 가구의 재산 소득환산액 계산법과 기준 충족 여부가 궁금합니다.
G-W04,노인장기요양급여를 받으려면 신청부터 이용까지 어떤 절차를 거쳐야 하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6501,law_6498,FALSE,0.375915,0.429884,0.445220,3,FALSE,"top1 document mismatch: expected 6501, got law_6498",welfare,strong_keyword,
G-W05,인지지원등급을 받았는데 이용할 수 있는 장기요양급여가 무엇인가요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6499,law_6499,TRUE,0.325691,0.400447,0.403346,3,TRUE,,welfare,strong_keyword,
G-W06,기초생활보장은 어디에서 신청하고 결과는 언제 받을 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,5737,law_5737,TRUE,0.376935,0.523244,0.523318,3,TRUE,,welfare,strong_keyword,기초생활보장제도는 대한민국 국민이라면 누구나 이용할 수 있나요?; 긴급지원을 받았지만 생활이 나아지지 않아요. 다른 지원을 받을 수 있나요?
G-W07,기초생활보장 선정 기준에 나오는 기준 중위소득이 무슨 뜻인가요?,grounded_rag,grounded_rag,in_scope,grounded_rag,5739,law_5739,TRUE,0.369893,0.383769,0.435564,3,TRUE,,welfare,strong_keyword,
G-W08,긴급복지지원은 신청한 뒤 어떤 순서로 진행되나요?,grounded_rag,grounded_rag,in_scope,related_hybrid,2343,law_2343,TRUE,0.483587,0.536064,0.554492,3,FALSE,"route mismatch: expected ('grounded_rag',), got related_hybrid",welfare,strong_keyword,긴급지원은 어떠한 절차로 진행되나요?; 긴급지원을 받았지만 생활이 나아지지 않아요. 다른 지원을 받을 수 있나요?; 기초생활보장 신청을 하려는데 어디서 해야하나요? 그리고 신청 후 결과는 언제 알 수 있나요?
G-W09,부모님에게 치매가 의심되는데 진단 비용이나 검사를 지원받을 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,4461,law_4461,TRUE,0.425490,0.568001,0.598855,3,TRUE,,unknown,uncertain_vector_pass,치매 약을 먹으면 약값을 준다고 하던데 어디에 신청해야 하나요?
G-W10,노인학대를 신고하면 접수 이후 어떤 절차가 진행되나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,5893,law_5893,TRUE,0.373473,0.457982,0.484732,3,TRUE,,welfare,strong_keyword,노인학대는 누가 어떻게 신고할 수 있나요?; 노인학대를 당했을 때 도움을 받을 수 있는 곳이 있나요?
G-W11,혼자 병원에 가기 어려운데 병원 안심동행 서비스를 당일에도 신청할 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6054,law_6054,TRUE,0.336405,0.536557,0.565581,3,TRUE,,welfare,strong_keyword,"수술 후 퇴원했으나 1인 가구라 돌봐줄 사람이 없는데, 도움을 받을 수 있는 지원 제도가 있나요?; 늦은 밤 안전하게 집까지 동행해 주는 ""안심귀가 지원서비스""는 어떻게 신청하고 이용하나요?"
G-W12,퇴사한 뒤 저와 가족의 건강보험을 지역가입자로 바꾸려면 어떻게 신청하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,5253,law_5253,TRUE,0.384023,0.468731,0.575372,3,TRUE,,welfare,strong_keyword,퇴사 후 재취업할 때까지 당분간 직장가입자 자격을 유지할 방법이 있나요?; 미성년자인 자녀도 지역건강보험료를 내야 하나요? 납부 기한과 방법도 궁금합니다.
H-R01,전세계약 전에 등기부등본의 갑구와 을구에서 무엇을 확인해야 하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6437,,0.584537,0.603145,0.603434,3,TRUE,,real_estate_rental,strong_keyword,"최근 전세사기가 급증하고 있는데, 어떤 유형들이 있나요?"
H-R02,집주인과 연락이 끊긴 상태에서 전세계약을 해지하려면 어떻게 해야 하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6446,,0.538828,0.542056,0.551282,3,TRUE,,real_estate_rental,strong_keyword,전세계약 만료 시 임대인에게 계약 종료 의사를 전달할 때 유의할 사항이 있을까요?; 전세계약 기간 중 지방으로 이사 가게 되었어요. 집주인은 새로운 임차인을 구하고 이사하라면서 중개보수도 제가 부담해야 한다고 합니다. 정말 제가 내야 하나요?; 아직 임대차 계약기간이 남았는데 보증금을 돌려받을 수 있을까요?
H-R03,월세를 몇 달 연체하면 집주인이 보증금에서 바로 공제할 수 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_2462,,0.507357,0.568449,0.575355,3,TRUE,,real_estate_rental,strong_keyword,임차한 집에서 8개월째 거주 중인데 집주인이 주변 시세가 올랐다며 보증금을 올려달라고 합니다. 올려줘야 하나요?; 임대인과 임차인 모두 계약갱신에 대한 별다른 말이 없는 경우 계약은 어떻게 되나요?; 임대차 계약기간 만료 후 보증금을 돌려받지 못해 그 집에서 계속 거주할 경우 월세를 내야하나요?
H-R04,반려동물 금지 특약을 어기면 임대차계약이 바로 해지되나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_2463,,0.551123,0.560981,0.562794,3,TRUE,,real_estate_rental,strong_keyword,아직 임대차 계약기간이 남았는데 보증금을 돌려받을 수 있을까요?; 임대인과 임차인 모두 계약갱신에 대한 별다른 말이 없는 경우 계약은 어떻게 되나요?; 전세계약 기간 중 지방으로 이사 가게 되었어요. 집주인은 새로운 임차인을 구하고 이사하라면서 중개보수도 제가 부담해야 한다고 합니다. 정말 제가 내야 하나요?
H-R05,계약갱신청구권은 언제까지 어떤 방식으로 행사해야 하나요?,related_hybrid,related_hybrid,in_scope,grounded_rag,,law_2472,,0.438267,0.532669,0.541529,3,FALSE,"route mismatch: expected ('related_hybrid',), got grounded_rag",real_estate_rental,strong_keyword,임대차 계약기간 만료 후 보증금을 돌려받지 못해 그 집에서 계속 거주할 경우 월세를 내야하나요?; 전세계약 만료 시 임대인에게 계약 종료 의사를 전달할 때 유의할 사항이 있을까요?
H-R06,전세사기 피해를 당했는데 무료 법률상담이나 소송비 지원도 받을 수 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6440,,0.548428,0.549620,0.551402,3,TRUE,,real_estate_rental,strong_keyword,"전세피해확인서는 왜 제출해야 하며, 어디서 발급하는 건가요?; 전세사기피해자는 어떤 사람들을 말하나요?; 시설 퇴소 후 연락 없던 부모님의 빚이 상속될 위기일 때 도움받을 곳이 있나요?"
H-R07,공공임대주택에 살다가 소득이 늘면 바로 퇴거해야 하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6077,,0.578126,0.600938,0.601349,3,TRUE,,real_estate_rental,strong_keyword,공공임대주택에 중대한 하자가 있으면 임차인이 계약을 해지할 수 있나요?
H-R08,청약에 당첨된 뒤 계약을 포기하면 다음 청약에 불이익이 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6117,,0.514507,0.555111,0.593726,3,TRUE,,unknown,uncertain_vector_pass,제출서류의 오류로 청약 부적격자 당첨 취소 시 어떤 불이익이 있나요?; 특별공급 청약 예비입주자의 선정 방식과 당첨절차가 궁금합니다.
H-R09,이사업체가 가구를 파손했는데 배상받으려면 어떤 자료를 준비해야 하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_3026,,0.478439,0.719663,0.731653,3,TRUE,,real_estate_rental,strong_keyword,곧 이사를 할 예정인데 혹시라도 이사업체와 분쟁이 생길까 걱정됩니다. 이삿짐 관련 피해분쟁을 미리 예방할 수 있는 방법이 있나요?
H-R10,전세대출이 남은 상태에서 중도 이사하면 대출과 보증금은 어떻게 처리하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_3021,,0.543070,0.583798,0.595959,3,TRUE,,real_estate_rental,strong_keyword,전세계약 기간 중 지방으로 이사 가게 되었어요. 집주인은 새로운 임차인을 구하고 이사하라면서 중개보수도 제가 부담해야 한다고 합니다. 정말 제가 내야 하나요?; 아직 임대차 계약기간이 남았는데 보증금을 돌려받을 수 있을까요?
H-W01,기초연금을 신청할 때 자동차도 소득인정액 계산에 포함되나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6528,,0.510324,0.525097,0.551574,3,TRUE,,welfare,strong_keyword,노령연금(국민연금)을 받고 있더라도 기초연금을 함께 받을 수 있을까요?; 주거용 재산 1억 6천만 원과 일반재산 3천만 원이 있는 세종시 주거수급 가구의 재산 소득환산액 계산법과 기준 충족 여부가 궁금합니다.; 기초연금액의 산정방법을 자세히 알고싶어요.
H-W02,국민연금 가입기간이 부족한데 임의가입이나 추후납부로 기간을 채울 수 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6526,,0.552843,0.554586,0.638809,3,TRUE,,welfare,strong_keyword,"국민연금 7년, 공무원연금 4년으로 가입기간이 각각 부족해도 연금을 받을 수 있나요?; 퇴사 후 재취업할 때까지 당분간 직장가입자 자격을 유지할 방법이 있나요?"
H-W03,장기요양등급의 유효기간이 끝나기 전에 갱신 신청을 해야 하나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6348,,0.490031,0.535493,0.574071,3,TRUE,,welfare,strong_keyword,"장기요양등급은 어떤 기준으로 판정되는 것이며, 등급판정 결과에 대한 이의신청을 할 수 있는지 궁금합니다.; 장기요양보험은 무슨 보험이고, 장기요양급여는 어떻게 이용할 수 있는 건가요?; 치매 어르신 방문목욕 서비스도 지원받을 수 있나요?"
H-W04,치매 환자를 돌보는 가족이 잠시 쉴 수 있도록 단기간 맡길 수 있는 제도가 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6499,,0.504379,0.513638,0.575135,3,TRUE,,unknown,uncertain_vector_pass,등급판정 결과 인지지원등급으로 인정받았는데 어떤 급여를 이용할 수 있나요?; 치매가족과 보호자는 어떤 지원을 받을 수 있나요?; 치매에 대해 궁금한 점이 많습니다. 어디에 물어봐야 하나요?
H-W05,직장인도 비용 부담 없이 우울증 상담을 받을 수 있는 공공 지원이 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_5980,,0.492643,0.511309,0.561603,3,TRUE,,welfare,valid_keyword_combination,우울증 상담을 받고 싶은데 도움받을 수 있나요?; 우울증 검사나 우울증 환자를 지원하기 위한 정책이 있나요?; 우울증(정신질환)의 발병 초기 조기치료비를 지원받고 싶은데 치료비 지원 대상이 어떻게 되나요?
H-W06,노인 일자리에서 받는 급여가 기초연금 금액에 영향을 주나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6350,,0.496202,0.502119,0.558785,3,TRUE,,welfare,strong_keyword,노인 일자리 지원사업에 지원하고 싶은데 67세의 기초생활수급자도 참여가 가능한가요?; 노령연금(국민연금)을 받고 있더라도 기초연금을 함께 받을 수 있을까요?; 기초연금액의 산정방법을 자세히 알고싶어요.
H-W07,긴급생계지원을 받은 뒤에도 형편이 나아지지 않으면 지원기간을 연장할 수 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_2344,,0.475375,0.506047,0.533686,3,TRUE,,unknown,uncertain_vector_pass,긴급지원을 받았지만 생활이 나아지지 않아요. 다른 지원을 받을 수 있나요?; 긴급지원은 어떠한 절차로 진행되나요?; 화재로 생계가 어려워진 경우 긴급지원을 받을 수 있나요?
H-W08,기초생활수급자가 아르바이트를 시작하면 생계급여가 바로 중단되나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_5741,,0.521635,0.526573,0.532524,3,TRUE,,welfare,strong_keyword,소득인정액이 15만원인 1인 가구 기초생활보장수급자가 실제로 받을 수 있는 월 생계급여액은 얼마인가요?; 긴급지원을 받았지만 생활이 나아지지 않아요. 다른 지원을 받을 수 있나요?; 기초생활보장제도는 대한민국 국민이라면 누구나 이용할 수 있나요?
H-W09,혼자 사는 노인에게 정기적으로 반찬이나 식사를 배달해 주는 지원이 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6345,,0.502930,0.574125,0.580819,3,TRUE,,unknown,uncertain_vector_pass,68세 노인으로 혼자 살고 있는데 주기적으로 저를 살펴봐주고 돌봐주는 제도는 없을까요?; 시설급여나 재가급여를 이용하지 못하는 치매 노인을 위한 서비스는 없나요?; 혼자 살고 계신 어머니의 위급 상황 대처와 평소 안부 확인을 위해 이용할 수 있는 지원 사업이 있나요?
H-W10,가족을 돌보기 위해 가족돌봄휴가를 쓰면 급여도 받을 수 있나요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6598,,0.552428,0.591511,0.598686,3,TRUE,,welfare,strong_keyword,가족을 돌보기 위해 근무시간을 줄일 수 있는 제도가 있나요?
L-R01,상가 임대차에서 권리금 회수를 집주인이 방해하면 어떻게 대응해야 하나요?,llm_only,llm_only,in_scope,related_hybrid,,law_2464,,0.572808,0.591336,0.603206,3,FALSE,"route mismatch: expected ('llm_only',), got related_hybrid",real_estate_rental,strong_keyword,이사하려는데 집주인이 보증금은 새로운 세입자가 들어오면 그 때 준다고 합니다. 이사해도 될까요?
L-R02,부동산 매매계약을 해제할 때 계약금은 누구에게 귀속되나요?,llm_only,llm_only,in_scope,llm_only,,law_3021,,0.591816,0.603073,0.609150,3,TRUE,,real_estate_rental,extended_domain_keyword,
L-R03,토지 경계가 등기와 실제 담장 위치가 다른 경우 어떻게 해결하나요?,llm_only,llm_only,in_scope,llm_only,,law_2469,,0.665084,0.686586,0.705444,3,TRUE,,real_estate_rental,extended_domain_keyword,
L-R04,재개발 조합원 분담금이 예상보다 크게 늘었을 때 이의를 제기할 수 있나요?,llm_only,llm_only,in_scope,llm_only,,law_2473,,0.731927,0.733796,0.735752,3,TRUE,,real_estate_rental,extended_domain_keyword,
L-R05,상속받은 아파트를 팔 때 양도소득세는 어떻게 계산하나요?,llm_only,llm_only,in_scope,llm_only,,law_6351,,0.639006,0.651910,0.664389,3,TRUE,,real_estate_rental,extended_domain_keyword,
L-R06,건물 용도를 주택에서 사무실로 변경하려면 어떤 허가가 필요한가요?,llm_only,llm_only,out_of_scope,out_of_scope,,law_2479,,0.683016,0.714119,0.745520,3,FALSE,"route mismatch: expected ('llm_only',), got out_of_scope",unknown,uncertain_vector_fail,
L-W01,장애인연금은 몇 살부터 어떤 조건으로 신청할 수 있나요?,llm_only,llm_only,in_scope,related_hybrid,,law_6525,,0.513103,0.528365,0.594207,3,FALSE,"route mismatch: expected ('llm_only',), got related_hybrid",welfare,extended_domain_keyword,"국민연금 가입기간이 11년 정도 되는데, 언제부터 노령연금을 받을 수 있나요?; 노령연금(국민연금)을 받고 있더라도 기초연금을 함께 받을 수 있을까요?"
L-W02,한부모가족 아동양육비 지원을 받으려면 어떤 소득 기준을 충족해야 하나요?,llm_only,llm_only,in_scope,related_hybrid,,law_6073,,0.525367,0.555506,0.563138,3,FALSE,"route mismatch: expected ('llm_only',), got related_hybrid",welfare,extended_domain_keyword,통합공공임대주택의 자격 요건이 어떻게 되는지 궁금합니다.; 기초생활보장제도는 대한민국 국민이라면 누구나 이용할 수 있나요?; 소득인정액이 15만원인 1인 가구 기초생활보장수급자가 실제로 받을 수 있는 월 생계급여액은 얼마인가요?
L-W03,실업급여를 받으려면 퇴사 후 언제까지 신청해야 하나요?,llm_only,llm_only,in_scope,related_hybrid,,law_5102,,0.564230,0.633701,0.647496,3,FALSE,"route mismatch: expected ('llm_only',), got related_hybrid",welfare,extended_domain_keyword,퇴사 후 재취업할 때까지 당분간 직장가입자 자격을 유지할 방법이 있나요?
L-W04,산업재해로 일을 쉬게 되면 생활비를 지원받을 수 있나요?,llm_only,llm_only,in_scope,llm_only,,law_2341,,0.651090,0.673937,0.676598,3,TRUE,,welfare,extended_domain_keyword,
L-W05,아동수당은 몇 살까지 받을 수 있고 어디에서 신청하나요?,llm_only,llm_only,in_scope,related_hybrid,,law_5124,,0.534054,0.562978,0.579454,3,FALSE,"route mismatch: expected ('llm_only',), got related_hybrid",welfare,extended_domain_keyword,현재 농촌에서 농사일을 하고 있습니다. 어린이집을 다니지 않는 39개월 된 아들을 할머니가 집에서 돌봐 주시고 계십니다. 양육 수당을 얼마나 지원받을 수 있나요?; 가족을 간병하는 청년을 위한 학업 및 취업 지원 제도가 있나요?; 기초생활보장 신청을 하려는데 어디서 해야하나요? 그리고 신청 후 결과는 언제 알 수 있나요?
L-W06,문화누리카드는 누가 받을 수 있고 어디에서 사용할 수 있나요?,llm_only,llm_only,in_scope,llm_only,,law_6347,,0.659307,0.692378,0.694415,3,TRUE,,welfare,extended_domain_keyword,
O-01,회사에서 부당해고를 당했는데 노동위원회에 어떻게 구제신청을 하나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-02,이혼할 때 재산분할 비율은 어떻게 정해지나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-03,교통사고 합의금을 어느 정도 받아야 하나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-04,폭행을 당했는데 고소장을 어떻게 작성해야 하나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-05,온라인 쇼핑몰에서 환불을 거부하는데 어떻게 신고하나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-06,개인정보가 유출됐을 때 손해배상을 청구할 수 있나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-07,파이썬으로 CSV 파일을 읽는 코드를 알려줘.,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-08,오늘 서울 날씨가 어떤가요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-09,상속포기를 하려면 법원에 어떤 서류를 내야 하나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
O-10,음주운전으로 면허가 취소되면 구제받을 수 있나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-01,회사 복지포인트는 퇴사하면 바로 없어지나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-02,클라우드 서버 임대 계약을 중도 해지하고 싶습니다.,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-03,자동차 보험료가 너무 많이 올랐는데 낮출 방법이 있나요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-04,게임에서 연금술 재료를 얻는 방법을 알려줘.,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-05,회사 이사를 새로 선임하려면 주주총회가 필요한가요?,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-06,노인과 바다의 줄거리를 요약해 주세요.,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-07,우울증 약의 부작용과 복용 시간을 알려주세요.,out_of_scope,out_of_scope,out_of_scope,out_of_scope,,,,,,,0,TRUE,,unknown,explicit_out_of_scope,
A-08,전세계약이 끝났는데 집주인이 보증금을 돌려주지 않습니다.,grounded_rag,grounded_rag,in_scope,related_hybrid,,law_2478,,0.468959,0.480229,0.530395,3,FALSE,"route mismatch: expected ('grounded_rag',), got related_hybrid",real_estate_rental,strong_keyword,임대차 계약기간 만료 후 보증금을 돌려받지 못해 그 집에서 계속 거주할 경우 월세를 내야하나요?; 이사하려는데 집주인이 보증금은 새로운 세입자가 들어오면 그 때 준다고 합니다. 이사해도 될까요?; 전세계약 기간 중 지방으로 이사 가게 되었어요. 집주인은 새로운 임차인을 구하고 이사하라면서 중개보수도 제가 부담해야 한다고 합니다. 정말 제가 내야 하나요?
A-09,혼자 사는 어머니가 쓰러질까 걱정인데 안부를 확인해 주는 지원이 있나요?,grounded_rag,grounded_rag;related_hybrid,in_scope,related_hybrid,,law_6057,,0.467717,0.569615,0.606409,3,TRUE,,welfare,valid_keyword_combination,혼자 살고 계신 어머니의 위급 상황 대처와 평소 안부 확인을 위해 이용할 수 있는 지원 사업이 있나요?; 68세 노인으로 혼자 살고 있는데 주기적으로 저를 살펴봐주고 돌봐주는 제도는 없을까요?
A-10,집 계약 전에 사기를 피하려면 뭘 확인해야 해요?,related_hybrid,related_hybrid,in_scope,related_hybrid,,law_6437,,0.576493,0.620060,0.641639,3,TRUE,,real_estate_rental,valid_keyword_combination,"최근 전세사기가 급증하고 있는데, 어떤 유형들이 있나요?"
